Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,
2024-01-02 00:00:00+00:00,184.93821716308594,368.8540954589844,248.4199981689453,185.63999938964844,370.8699951171875,248.4199981689453,188.44000244140625,375.8999938964844,251.25,183.88999938964844,366.7699890136719,244.41000366210938,187.14999389648438,373.8599853515625,250.0800018310547,82488700,25258600,104654200
2024-01-03 00:00:00+00:00,183.553466796875,368.5855712890625,238.4499969482422,184.25,370.6000061035156,238.4499969482422,185.8800048828125,373.260009765625,245.67999267578125,183.42999267578125,368.510009765625,236.32000732421875,184.22000122070312,369.010009765625,244.97999572753906,58414500,23083500,121082600
2024-01-04 00:00:00+00:00,181.22232055664062,365.94000244140625,237.92999267578125,181.91000366210938,367.94000244140625,237.92999267578125,183.08999633789062,373.1000061035156,242.6999969482422,180.8800048828125,367.1700134277344,237.72999572753906,182.14999389648438,370.6700134277344,239.25,71983600,20901500,102629300
2024-01-05 00:00:00+00:00,180.49508666992188,365.7510681152344,237.49000549316406,181.17999267578125,367.75,237.49000549316406,182.75999450683594,372.05999755859375,240.1199951171875,180.1699981689453,366.5,234.89999389648438,181.99000549316406,368.9700012207031,236.86000061035156,62303300,20987000,92379400
2024-01-08 00:00:00+00:00,184.8585205078125,372.6533508300781,240.4499969482422,185.55999755859375,374.69000244140625,240.4499969482422,185.60000610351562,375.20001220703125,241.25,181.5,369.010009765625,235.3000030517578,182.08999633789062,369.29998779296875,236.13999938964844,59144500,23134000,85166600
2024-01-09 00:00:00+00:00,184.4401092529297,373.74737548828125,234.9600067138672,185.13999938964844,375.7900085449219,234.9600067138672,185.14999389648438,375.989990234375,238.9600067138672,182.72999572753906,371.19000244140625,232.0399932861328,183.9199981689453,372.010009765625,238.11000061035156,42841800,20830000,96705700
2024-01-10 00:00:00+00:00,185.4861602783203,380.68939208984375,233.94000244140625,186.19000244140625,382.7699890136719,233.94000244140625,186.39999389648438,384.1700134277344,235.5,183.9199981689453,376.32000732421875,231.2899932861328,184.35000610351562,376.3699951171875,235.10000610351562,46792900,25514200,91628500
2024-01-11 00:00:00+00:00,184.88841247558594,382.539306640625,227.22000122070312,185.58999633789062,384.6300048828125,227.22000122070312,187.0500030517578,390.67999267578125,230.92999267578125,183.6199951171875,380.3800048828125,225.3699951171875,186.5399932861328,386.0,230.57000732421875,49128400,27850800,105873600
